parameter,value
mode,synthetic
config_version,seismic-pinn-defense-v6-ablation-sparse-baseline
device,mps
NX,70
NZ,70
NT,220
COARSE_NX,36
COARSE_NZ,36
COARSE_NT,220
SPARSE_BASELINE_TIME_STRIDE,4
SPARSE_BASELINE_SPACE_STRIDE,4
T_MAX,0.6
SOURCE_FREQUENCY,8.0
SOURCE_AMPLITUDE,1.0
USE_FOURIER_FEATURES,True
FOURIER_MAPPING_SIZE,128
FOURIER_SCALE,3.0
HIDDEN_DIM,128
NETWORK_DEPTH,6
ACTIVATION,tanh
EPOCHS,2000
N_DATA,32000
N_COLLOCATION,1024
N_INITIAL,2000
N_BOUNDARY,2000
LAMBDA_PDE,1e-08
LAMBDA_DATA,100.0
LAMBDA_IC,0.5
LAMBDA_BC,0.5
LAMBDA_AMPLITUDE,0.01
PDE_WARMUP_EPOCHS,200
REAL_SMOOTHNESS_WEIGHT,0.001
ABLATION_EPOCHS,700
